DATE,PRIME
28-06-01,6.75
22-08-01,6.5
18-09-01,6
03-10-01,5.5
07-11-01,5
12-12-01,4.75
07-11-02,4.25
27-06-03,4
01-07-04,4.25
11-08-04,4.5
21-09-04,4.75
10-11-04,5
15-12-04,5.25
02-02-05,5.5
22-03-05,5.75
03-05-05,6
30-06-05,6.25
09-08-05,6.5
20-09-05,6.75
01-11-05,7
13-12-05,7.25
31-01-06,7.5
28-03-06,7.75
10-05-06,8
29-06-06,8.25
18-09-07,7.75
31-10-07,7.5
11-12-07,7.25
22-01-08,6.5
30-01-08,6
18-03-08,5.25
30-04-08,5
08-10-08,4.5
29-10-08,4
16-12-08,3.25
17-12-15,3.5
15-12-16,3.75
16-03-17,4
15-06-17,4.25
14-12-17,4.5
22-03-18,4.75
14-06-18,5
27-09-18,5.25
20-12-18,5.5
01-08-19,5.25
19-09-19,5
31-10-19,4.75
04-03-20,4.25
16-03-20,3.25
17-03-22,3.5
05-05-22,4
16-06-22,4.75
28-07-22,5.5
22-09-22,6.25
03-11-22,7
15-12-22,7.5
02-02-23,7.75
23-03-23,8
04-05-23,8.25
27-07-23,8.5
